arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,crop_name_clean,date_clean,quantity_quintals
ARR0012424,06-04-2026,MANDI026,गेहूं,Hybrid,44.841,T,128.0,Wheat,2026-04-06,448.41
ARR0008271,2026-06-02,MANDI014,Gehun,HD-2967,332.54,Qtl,33.0,Wheat,2026-02-06,332.54
ARR0012573,06-24-2026,MANDI019,Maize,,-107.13,KG,112.0,Maize,2026-06-24,-1.0713
ARR0012098,09.08.2026,MANDI050,Corn,Premium,-331.59,Qtl,,Maize,2026-08-09,-331.59
ARR0013701,2026-03-31,MANDI049,Ganne,Local,119.93,Q,105.0,Sugarcane,2026-03-31,119.93
ARR0010753,10/07/2026,MANDI054,Kapas,HD-2967,187.68,qtl,45.0,Cotton,2026-07-10,187.68
ARR0003275,04-08-2026,MANDI029,Sarson,PBW-343,14.84,Quintals,129.0,Mustard,2026-08-04,14.84
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,qtl,109.0,Mustard,2026-08-14,93.28
ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,3.8369999999999997,tonnes,80.0,Maize,2026-05-25,38.370000000000005
ARR0019527,02/08/2026,MANDI042,corn,HD-2967,17077.0,kg,26.0,Maize,2026-08-02,170.77
ARR0009636,31/03/2026,MANDI056,corn,HD-2967,37.3,quintal,,Maize,2026-03-31,37.3
ARR0010366,16/01/2026,MANDI011,Ganne,Pusa-1121,44.83,Q,65.0,Sugarcane,2026-01-16,44.83
ARR0005837,27.06.2026,MANDI025,GEHUN,,45.474000000000004,tonnes,,Wheat,2026-06-27,454.73999999999995
ARR0002387,18.01.2026,MANDI050,Ganne,HD-2967,1518.0,KGS,,Sugarcane,2026-01-18,15.18
ARR0024112,2026-08-09,MANDI006,सरसों,,34.63,quintal,102.0,Mustard,2026-09-08,34.63
ARR0010546,2026/01/09,MANDI039,Kanak,,41.577,MT,139.0,Wheat,2026-09-01,415.77
ARR0002154,03-20-2026,MANDI001,Basmati,HD-2967,39646.0,kg,61.0,Rice,2026-03-20,396.46
ARR0020380,06-03-2026,MANDI028,mustard,Pusa-1121,99.87,Quintals,,Mustard,2026-03-06,99.87
ARR0021641,15-Aug-2026,MANDI045,Sarso,HD-2967,39119.0,KGS,41.0,Mustard,2026-08-15,391.19
ARR0004098,25-Mar-2026,MANDI027,cotton,Pusa-1121,111.01,Qtl,137.0,Cotton,2026-03-25,111.01
,18.06.2026,MANDI026,मक्का,Pusa-1121,264.38,Qtl,96.0,Maize,2026-06-18,264.38
ARR0006088,12-Aug-2026,MANDI019,Ganne,HD-2967,373.93,Quintals,121.0,Sugarcane,2026-08-12,373.93
ARR0021143,30.04.2026,MANDI024,सरसों,Premium,7048.999999999999,Kgs,7.0,Mustard,2026-04-30,70.49
ARR0019959,21/08/2026,MANDI022,Makka,PBW-343,38.343,Tonnes,85.0,Maize,2026-08-21,383.43000000000006
ARR0001442,2026/05/31,MANDI044,paddy,Local,113.89,Qtl,97.0,Rice,2026-05-31,113.89
ARR0004480,08.04.2026,MANDI045,Wheat,Local,15910.0,kg,102.0,Wheat,2026-04-08,159.1
ARR0021197,28-Aug-2026,MANDI021,sugarcane,Hybrid,197.48,qtl,,Sugarcane,2026-08-28,197.48
ARR0020628,12-Jun-2026,MANDI012,sugarcane,PBW-343,35053.0,Kilo,71.0,Sugarcane,2026-06-12,350.53
ARR0001665,30.07.2026,MANDI055,Chawal,Local,406.67,Quintals,,Rice,2026-07-30,406.67
ARR0002938,04-Jul-2026,MANDI016,GEHUN,,162.36,qtl,114.0,Wheat,2026-07-04,162.36
ARR0019350,25/03/2026,MANDI001,गेहूं,Premium,19.073,MT,,Wheat,2026-03-25,190.73000000000002
ARR0020205,2026-07-05,MANDI037,Makka,Hybrid,7347.0,Kgs,17.0,Maize,2026-05-07,73.47
ARR0019616,10/04/2026,MANDI008,Corn,Hybrid,82.61,qtl,,Maize,2026-04-10,82.61
ARR0022884,12.05.2026,MANDI047,मक्का,,194.32,Quintals,33.0,Maize,2026-05-12,194.32
ARR0003230,2026-04-03,MANDI051,सरसों,PBW-343,38.055,MT,6.0,Mustard,2026-03-04,380.55
ARR0003266,24-Apr-2026,MANDI023,Ganna,,97.11,qtl,17.0,Sugarcane,2026-04-24,97.11
