record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,crop_name_clean,date_clean,min_price_clean,max_price_clean,modal_price_clean,msp_clean
PR001650,2026/07/26,MANDI005,,Kapas,6850.985817820893,"₹7,570.17",7210.58,"₹6,620.00",Cotton,2026-07-26,6850.985817820893,7570.17,7210.58,6620.0
PR000246,2026-07-17,MANDI028,Fatehabad,कपास,"₹6,944.79",7654.18,"Rs. 7,299",,Cotton,2026-07-17,6944.79,7654.18,0.7299,
PR010091,09.01.2026,MANDI011,Jalandhar,Dhaan,"Rs. 1,857",2013.18,"₹1,935.06","INR 2,183",Rice,2026-01-09,0.1857,2013.18,1935.06,2183.0
PR000982,2026/05/24,MANDI012,Ferozepur,corn,"₹1,873.34","Rs. 1,986","Rs. 1,930","Rs. 2,090",Maize,2026-05-24,1873.34,0.1986,0.193,0.209
PR001708,18/08/2026,MANDI013,Karnal,Cotton,"5,878.62/-",6574.283051769212,6226.45,"Rs. 6,620",Cotton,2026-08-18,5878.62,6574.283051769212,6226.45,0.662
PR000288,08-Aug-2026,MANDI031,Hisar,Kanak,"₹2,270.14",2823.4429693584902,"2,546.79/-","₹2,275.00",Wheat,2026-08-08,2270.14,2823.4429693584902,2546.79,2275.0
PR002536,2026-01-06,MANDI036,Kurukshetra,WHEAT,"₹1,961.63","Rs. 2,340","INR 2,151",2275,Wheat,2026-06-01,1961.63,0.234,2151.0,2275.0
PR009427,12-Aug-2026,MANDI050,,Gehun,2277.53,"INR 2,458","₹2,367.64","2,275.00/-",Wheat,2026-08-12,2277.53,2458.0,2367.64,2275.0
PR001250,10/02/2026,MANDI002,Ambala,corn,"Rs. 1,866","INR 2,193","Rs. 2,029","Rs. 2,090",Maize,2026-02-10,0.1866,2193.0,0.2029,0.209
PR008959,24.06.2026,MANDI057,,सरसों,,"Rs. 6,850","Rs. 6,290","Rs. 5,650",Mustard,2026-06-24,,0.685,0.629,0.565
PR004344,2026-04-14,MANDI040,Amritsar,Dhaan,1989.0202736774606,"2,138.04/-","₹2,063.53",2183,Rice,2026-04-14,1989.0202736774606,2138.04,2063.53,2183.0
PR008040,25-Jun-2026,MANDI053,Ludhiana,Kanak,"INR 2,016","Rs. 2,300",2158.4,"Rs. 2,275",Wheat,2026-06-25,2016.0,0.23,2158.4,0.2275
PR002773,06/04/2026,MANDI050,Ambala,Ganna,"₹3,391.89","₹4,215.91","INR 3,804","Rs. 3,500",Sugarcane,2026-04-06,3391.89,4215.91,3804.0,0.35
PR007582,24.01.2026,MANDI043,Ferozepur,Dhaan,,2521.03,2303.861807881144,"₹2,183.00",Rice,2026-01-24,,2521.03,2303.861807881144,2183.0
PR001390,06-17-2026,MANDI026,Patiala,Sugarcane,"₹3,661.39",4282.71,3972.05,"Rs. 3,500",Sugarcane,2026-06-17,3661.39,4282.71,3972.05,0.35
PR011220,17/01/2026,MANDI010,Bathinda,Kapas,"INR 6,054",7147.5,"Rs. 6,601",6620,Cotton,2026-01-17,6054.0,7147.5,0.6601,6620.0
PR005849,2026/01/23,MANDI016,Patiala,cotton,"Rs. 6,473",7364.56,"₹6,918.61","Rs. 6,620",Cotton,2026-01-23,0.6473,7364.56,6918.61,0.662
PR007394,25.03.2026,MANDI024,Karnal,sugarcane,"₹3,074.76",3382.79,"Rs. 3,229","₹3,500.00",Sugarcane,2026-03-25,3074.76,3382.79,0.3229,3500.0
PR004644,2026/05/25,MANDI026,,mustard,"INR 5,725","₹6,263.77",5994.455824860666,5650,Mustard,2026-05-25,5725.0,6263.77,5994.455824860666,5650.0
PR002514,21/07/2026,MANDI007,Hisar,corn,1988.4744912268284,"2,299.86/-",2144.167343486675,"INR 2,090",Maize,2026-07-21,1988.4744912268284,2299.86,2144.167343486675,2090.0
