trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,vehicle_no_clean,departure_time_clean,arrival_time_clean,reason,recommended_action
TRP006374,MANDI050,WH-Central,2026-04-30T20:08:22,01/05/2026 05:26,9.3,305.714532,miles,,DRV264,491.99862492888,,2026-04-30 20:08:22,2026-01-05 05:26:00,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002031,MANDI057,WH-South,2026-08-01 08:47:10,2026-08-01 13:05:10,-4.3,185.9,km,RJ-30-DF-3879,DRV891,185.9,RJ30DF3879,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006585,MANDI037,WH-West,25-Jul-2026 01:21:38,,-3.7,216.5,km,,DRV203,216.5,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008311,MANDI008,WH-East,2026-08-18T01:45:45,2026-08-18 19:57:45,-18.2,906.1,km,,DRV132,906.1,,2026-08-18 01:45:45,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP001057,MANDI043,WH-North,2026-07-25 05:01:53,26/07/2026,-20.9,943.2,km,rj 99-AB-1741,DRV234,943.2,RJ99AB1741,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006329,MANDI052,WH-West,2026-03-20T03:34:48,2026-03-21 02:58:48,-23.4,735.8275382,miles,rj 54-BC-7562,DRV288,1184.196690326788,RJ54BC7562,2026-03-20 03:34:48,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP005099,MANDI034,Export-Terminal,2026-03-19 14:03:50,2026-03-19T18:21:50,-4.3,248.1,km,DL-82-BC-9183,DRV844,248.1,DL82BC9183,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP004614,MANDI054,WH-North,2026-02-16 20:27:14,,-9.7,479.9,km,UP-62-AB-1484,,479.9,UP62AB1484,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007248,MANDI057,WH-East,26/05/2026 07:11,2026-05-26 12:11:22,-5.0,226.4,km,RJ-34-BC-7142,DRV404,226.4,RJ34BC7142,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000544,MANDI004,Export-Terminal,08-03-2026 12:23 AM,08-03-2026 09:47 AM,-9.4,544.4,km,RJ-14-AB-8168,,544.4,RJ14AB8168,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP007227,MANDI001,WH-West,06-30-2026 06:43 PM,,-20.9,1185.5,km,DL-98-CD-1437,DRV962,1185.5,DL98CD1437,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002250,MANDI021,WH-Central,2026-02-03 15:46:08,2026-02-04 09:28:08,-17.7,775.5,km,PB-67-AB-8204,,775.5,PB67AB8204,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP008065,MANDI055,WH-North,31/07/2026 12:46,31/07/2026,-7.2,422.4,km,HR29-AB-8045,DRV566,422.4,HR29AB8045,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP009560,MANDI046,WH-West,02-04-2026 09:10 AM,02-05-2026 04:10 AM,-19.0,1051.2,km,RJ83-BC-5416,DRV274,1051.2,RJ83BC5416,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006951,MANDI011,WH-West,2026-06-16T22:09:22,17-Jun-2026 20:57:22,-22.8,1090.5,km,PB-14-CD-6515,DRV382,1090.5,PB14CD6515,2026-06-16 22:09:22,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP000533,MANDI039,Export-Terminal,17-Apr-2026 09:47:45,17/04/2026 17:41,-7.9,429.4,km,up 13-AB-6530,,429.4,UP13AB6530,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP006011,MANDI056,WH-North,2026-03-03T13:26:26,,-10.3,500.9,km,RJ-13-AB-9827,DRV380,500.9,RJ13AB9827,2026-03-03 13:26:26,,Negative transit time or arrival before departure,Exclude from transit average KPIs
TRP002948,MANDI030,WH-East,27/04/2026 14:49,28/04/2026 10:55,-20.1,1017.3,km,,DRV910,1017.3,,,,Negative transit time or arrival before departure,Exclude from transit average KPIs
