trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,vehicle_no_clean,departure_time_clean,arrival_time_clean
TRP008869,MANDI029,WH-West,04-10-2026 04:15 AM,10/04/2026 09:51,,263.5,km,,DRV540,263.5,,,2026-10-04 09:51:00
TRP000674,MANDI024,WH-South,18/07/2026 16:34,07-18-2026 10:46 PM,6.2,276.5,km,UP 50 BC 6882,DRV722,276.5,UP50BC6882,,
TRP000036,MANDI042,WH-Central,08-13-2026 06:21 AM,14/08/2026,19.7,1070.7,km,RJ-52-CD-3274,DRV103,1070.7,RJ52CD3274,,
TRP008288,MANDI019,WH-South,07-30-2026 10:51 PM,07-31-2026 03:57 PM,17.1,728.9,km,DL-73-DF-1458,,728.9,DL73DF1458,,
TRP003456,MANDI038,Export-Terminal,07-25-2026 08:53 PM,,7.3,417.0,km,UP97-BC-6135,DRV255,417.0,UP97BC6135,,
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,05/07/2026 22:28,14.9,671.9,km,PB-99-BC-2796,DRV297,671.9,PB99BC2796,,2026-05-07 22:28:00
TRP007075,MANDI023,WH-West,19/06/2026,2026-06-19T22:01:06,6.4,362.6,km,pb 48-DF-3590,,362.6,PB48DF3590,,
TRP002222,MANDI033,WH-North,02-May-2026 10:12:36,02/05/2026 22:12,12.0,549.5,km,DL55-BC-7556,DRV662,549.5,DL55BC7556,,2026-02-05 22:12:00
TRP004565,MANDI054,WH-West,05/09/2026 10:36,05/09/2026 20:00,9.4,424.8,km,PB 83 DF 2210,DRV201,424.8,PB83DF2210,,2026-05-09 20:00:00
TRP008152,MANDI019,WH-Central,02/05/2026 09:15,02/05/2026 18:45,9.5,553.3,km,PB 53 AB 4593,DRV920,553.3,PB53AB4593,,2026-02-05 18:45:00
TRP000484,MANDI018,Export-Terminal,02-Aug-2026 03:53:48,02-Aug-2026 19:35:48,15.7,798.0,km,PB-65-AB-4841,,798.0,PB65AB4841,,
TRP006460,MANDI011,WH-East,13-Jul-2026 10:12:45,2026-07-13 15:30:45,5.3,275.0,km,DL-48-CD-9566,DRV803,275.0,DL48CD9566,,
TRP005643,MANDI009,WH-Central,2026-06-20T11:25:40,06-21-2026 12:31 AM,13.1,716.3,km,hr 45-AB-2105,DRV326,716.3,HR45AB2105,2026-06-20 11:25:40,
TRP005033,MANDI048,WH-East,09/09/2026 14:19,10/09/2026,13.5,716.4,km,,DRV415,716.4,,,
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,27-Jun-2026 03:45:28,,1000.8,km,HR 67 CD 5973,DRV626,1000.8,HR67CD5973,,
TRP003149,MANDI033,WH-North,01-01-2026 11:16 AM,,7.7,316.5 KM,,PB-62-CD-5129,DRV342,,PB62CD5129,,
TRP009930,MANDI048,WH-South,09/02/2026 05:25,,,486.0,km,UP 40 DF 1180,DRV783,486.0,UP40DF1180,,
TRP008787,MANDI022,WH-South,05-20-2026 08:31 PM,2026-05-21T01:13:44,,244.3,km,hr 57-BC-1128,DRV403,244.3,HR57BC1128,,
TRP005653,MANDI032,WH-South,09/06/2026,10/06/2026,17.2,608.7571687000001,miles,HR-49-CD-3613,DRV654,979.6972618756581,HR49CD3613,,
TRP008175,MANDI047,WH-North,01-12-2026 07:55 PM,13-Jan-2026 19:07:03,23.2,630.0080569,miles,HR-39-AB-7971,DRV497,1013.8971662914461,HR39AB7971,,
TRP005795,MANDI020,WH-South,2026-06-21T11:39:44,,23.6,1390.6,km,,DRV947,1390.6,,2026-06-21 11:39:44,
TRP005283,MANDI039,WH-West,08/07/2026 22:27,09/07/2026,,315.7,km,HR39-CD-5921,DRV622,315.7,HR39CD5921,,
TRP004378,MANDI035,WH-East,20-Mar-2026 23:11:29,2026-03-21T05:11:29,6.0,207.60005110000003,miles,HR74-CD-9527,DRV270,334.09906623727403,HR74CD9527,,
TRP007392,MANDI025,WH-Central,14/05/2026,2026-05-15 03:54:19,,538.5,km,RJ-62-CD-6359,DRV958,538.5,RJ62CD6359,,
TRP001559,MANDI041,WH-South,27/05/2026 20:11,2026-05-28 09:29:32,13.3,671.1,km,UP-60-CD-2446,DRV650,671.1,UP60CD2446,,
TRP001433,MANDI029,WH-West,2026-06-21T01:20:44,21-Jun-2026 06:08:44,4.8,261.7,km,up 39-BC-3131,DRV765,261.7,UP39BC3131,2026-06-21 01:20:44,
TRP000040,MANDI006,WH-South,24/01/2026 07:05,24-Jan-2026 22:23:42,,877.8,km,UP24-BC-3811,DRV670,877.8,UP24BC3811,,
TRP003996,MANDI008,WH-East,08-20-2026 08:06 PM,2026-08-21 09:48:28,,715.6,km,HR93-DF-5165,,715.6,HR93DF5165,,
TRP007461,MANDI004,WH-West,08/06/2026,,21.1,995.7,km,PB 71 BC 6631,,995.7,PB71BC6631,,
TRP005973,MANDI048,Export-Terminal,19/06/2026 13:25,20-Jun-2026 02:49:57,13.4,399.8522385,miles,dl 70-CD-1378,DRV423,643.49820150759,DL70CD1378,,
TRP005174,MANDI054,WH-Central,05-18-2026 01:05 PM,05-19-2026 03:29 AM,,835.5,km,HR75-AB-3097,DRV499,835.5,HR75AB3097,,
TRP000961,MANDI043,WH-North,07/01/2026 21:56,2026-01-08T18:02:05,20.1,723.3379811,miles,dl 61-BC-2591,DRV807,1164.096746503474,DL61BC2591,,
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,10-Apr-2026 20:33:27,10.1,585.5,km,,DRV613,585.5,,,
TRP007465,MANDI044,Export-Terminal,2026-02-07T19:51:11,08/02/2026 13:39,17.8,519.0311963,miles,RJ45-AB-4860,DRV224,835.297665453442,RJ45AB4860,2026-02-07 19:51:11,2026-08-02 13:39:00
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,km,dl 75-CD-5891,,110.1,DL75CD5891,,
TRP008147,MANDI019,WH-North,28-May-2026 13:14:44,2026-05-29T05:32:44,16.3,551.0939399,miles,HR-30-BC-9997,DRV384,886.8975212386661,HR30BC9997,,
TRP006177,MANDI036,WH-West,04/01/2026 18:01,2026-01-04 22:07:19,4.1,196.7 KM,,pb 73-AB-4041,DRV497,,PB73AB4041,,
TRP007259,MANDI048,WH-North,11-Jul-2026 00:39:35,11-Jul-2026 12:51:35,12.2,620.1,km,DL-59-BC-5485,DRV350,620.1,DL59BC5485,,
TRP000034,MANDI057,WH-West,2026-08-13T05:21:48,13-Aug-2026 14:15:48,8.9,437.5,km,DL-65-AB-3380,DRV761,437.5,DL65AB3380,2026-08-13 05:21:48,
TRP001251,MANDI039,WH-West,06-22-2026 12:15 AM,06-22-2026 06:39 AM,6.4,257.7 KM,,hr 17-AB-1638,DRV299,,HR17AB1638,,
TRP003527,MANDI055,WH-North,02-17-2026 07:49 PM,,4.1,148.9426287,miles,PB-25-BC-1517,DRV630,239.699330072058,PB25BC1517,,
TRP008904,MANDI056,WH-North,05-02-2026 10:59 AM,2026-05-03 07:17:55,20.3,1115.4,km,PB 28 DF 8439,DRV544,1115.4,PB28DF8439,,
TRP001537,MANDI012,WH-West,09/05/2026 02:30,09/05/2026,15.1,835.3,km,RJ-10-AB-4277,,835.3,RJ10AB4277,,
