sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,timestamp_clean,timestamp_ist,date_clean,temp_celsius,rain_mm
SEN047,28/08/2026,68,f,43.8,mm,46.0,2026-08-28,2026-08-28 00:00:00,2026-08-28,20.0,43.8
SEN034,2026-07-03 07:08:18 IST,85.3,°F,1.88,in,55.0,,2026-07-03 07:08:18,2026-07-03,29.61111111111111,47.751999999999995
SEN035,2026-07-09 11:08:41 UTC,71.8,Fahrenheit,0.91,inch,49.0,,2026-07-09 16:38:41,2026-07-09,22.11111111111111,23.114
SEN048,2026-06-09 13:06:26 IST,39.8°C,,43.9,mm,81.0,,2026-06-09 13:06:26,2026-06-09,39.8°C,43.9
SEN035,17/03/2026,21.8°C,,28.9,MM,47.0,2026-03-17,2026-03-17 00:00:00,2026-03-17,21.8°C,28.9
SEN013,07-01-2026 05:48 PM,75,f,32.4,mm,43.0,,2026-07-01 17:48:00,2026-07-01,23.88888888888889,32.4
SEN040,2026-06-12 09:52:51 IST,92.5,°F,,,92.0,,2026-06-12 09:52:51,2026-06-12,33.611111111111114,
SEN027,2026-06-02 16:00:04 UTC,22.1,°C,-48.1,mm,36.0,,2026-06-02 21:30:04,2026-06-02,22.1,-48.1
SEN031,2026-08-23 07:42:11 IST,16.6,c,32.4,MM,38.0,,2026-08-23 07:42:11,2026-08-23,16.6,32.4
SEN045,2026-09-08 14:45:54 UTC,102.2,F,42.1,millimeters,41.0,,2026-09-08 20:15:54,2026-09-08,39.0,42.1
SEN011,2026-03-25 23:52:33 UTC,29.9,C,16.2,millimeters,32.0,,2026-03-26 05:22:33,2026-03-26,29.9,16.2
SEN004,08-27-2026 04:59 PM,66.9,f,42.3,mm,35.0,,2026-08-27 16:59:00,2026-08-27,19.388888888888893,42.3
SEN020,2026-02-02 07:59:44 IST,73.2,F,16.0,millimeters,,,2026-02-02 07:59:44,2026-02-02,22.88888888888889,16.0
SEN026,2026-03-21 12:06:58 UTC,102.4,Fahrenheit,13.7,millimeters,80.0,,2026-03-21 17:36:58,2026-03-21,39.111111111111114,13.7
SEN020,2026-09-07 16:45:42 IST,67.6,f,-42.0,mm,39.0,,2026-09-07 16:45:42,2026-09-07,19.777777777777775,-42.0
SEN047,2026-04-09 17:24:04 UTC,29.8,°C,45.0,MM,53.0,,2026-04-09 22:54:04,2026-04-09,29.8,45.0
SEN035,2026-08-30 05:45:31 IST,31.8°C,,-7.3,mm,52.0,,2026-08-30 05:45:31,2026-08-30,31.8°C,-7.3
UNKNOWN,2026-07-28T05:02:48,29.1,Celsius,34.3,millimeters,75.0,,2026-07-28 05:02:48,2026-07-28,29.1,34.3
SEN032,2026-02-07 08:54:43 UTC,31.3,Celsius,6.2,mm,38.0,,2026-02-07 14:24:43,2026-02-07,31.3,6.2
SEN046,2026-02-22 21:45:12 IST,30,Celsius,1.6,mm,86.0,,2026-02-22 21:45:12,2026-02-22,30,1.6
SEN021,2026-03-10T23:45:39,24.6°C,,-15.9,mm,80.0,,2026-03-10 23:45:39,2026-03-10,24.6°C,-15.9
SEN042,2026-04-02 05:04:58 IST,97.9,f,0.23,inches,63.0,,2026-04-02 05:04:58,2026-04-02,36.611111111111114,5.842
SEN043,2026-03-01 15:38:44 UTC,37.8,C,,,44.0,,2026-03-01 21:08:44,2026-03-01,37.8,
SEN042,2026-07-07 09:27:47 IST,33.4,C,0.78,in,38.0,,2026-07-07 09:27:47,2026-07-07,33.4,19.812
SEN013,2026-05-23 18:27:41 IST,28.3,°C,12.4,MM,56.0,,2026-05-23 18:27:41,2026-05-23,28.3,12.4
SEN021,2026-02-25 19:23:43 UTC,28.4°C,,32.5,MM,78.0,,2026-02-26 00:53:43,2026-02-26,28.4°C,32.5
SEN049,2026-04-24 18:47:44 IST,33.6,°C,7.2,millimeters,80.0,,2026-04-24 18:47:44,2026-04-24,33.6,7.2
SEN006,2026-01-02 09:31:50 IST,21.7,°C,7.2,millimeters,82.0,,2026-01-02 09:31:50,2026-01-02,21.7,7.2
SEN035,2026-05-05 03:28:20 UTC,37.6°C,,28.4,mm,48.0,,2026-05-05 08:58:20,2026-05-05,37.6°C,28.4
SEN050,2026-02-09 18:25:06 IST,68.9,F,21.5,millimeters,40.0,,2026-02-09 18:25:06,2026-02-09,20.500000000000004,21.5
SEN002,2026-07-06 04:29:39 UTC,95.2,Fahrenheit,-40.2,mm,73.0,,2026-07-06 09:59:39,2026-07-06,35.111111111111114,-40.2
SEN007,2026-08-19 21:08:23 UTC,23.1,C,1.84,in,62.0,,2026-08-20 02:38:23,2026-08-20,23.1,46.736
SEN029,2026-05-13 03:32:20 UTC,82.4,f,0.67,inch,94.0,,2026-05-13 09:02:20,2026-05-13,28.000000000000004,17.018
SEN022,2026-06-07 21:06:11 UTC,70.5,°F,0.57,inch,60.0,,2026-06-08 02:36:11,2026-06-08,21.38888888888889,14.477999999999998
SEN015,2026-02-21 12:03:50,78.4,f,14.9,mm,87.0,,2026-02-21 12:03:50,2026-02-21,25.777777777777782,14.9
SEN012,2026-03-15 07:21:07 UTC,59.9,f,1.28,in,94.0,,2026-03-15 12:51:07,2026-03-15,15.5,32.512
SEN029,2026-01-31 20:48:03 IST,71.4,F,,,69.0,,2026-01-31 20:48:03,2026-01-31,21.888888888888893,
SEN043,2026-08-23 15:21:41 IST,33.6,C,27.4,millimeters,76.0,,2026-08-23 15:21:41,2026-08-23,33.6,27.4
SEN023,2026-04-13 16:20:56 UTC,18.4,°C,1.7,inch,50.0,,2026-04-13 21:50:56,2026-04-13,18.4,43.18
UNKNOWN,2026-04-05 13:30:02 UTC,30.9,Celsius,1.01,in,,,2026-04-05 19:00:02,2026-04-05,30.9,25.654
SEN003,01/06/2026 20:19,79.9,f,29.4,millimeters,47.0,,2026-01-06 20:19:00,2026-01-06,26.611111111111114,29.4
SEN046,2026-05-19 06:18:45 UTC,29.3,C,-15.0,mm,36.0,,2026-05-19 11:48:45,2026-05-19,29.3,-15.0
SEN034,2026-04-13 08:56:28 IST,39.9,Celsius,1.08,inches,59.0,,2026-04-13 08:56:28,2026-04-13,39.9,27.432
SEN017,2026-05-30 14:33:23 UTC,19.6,c,-2.7,mm,77.0,,2026-05-30 20:03:23,2026-05-30,19.6,-2.7
UNKNOWN,2026-08-09 02:39:44 UTC,74.1,F,10.6,millimeters,52.0,,2026-08-09 08:09:44,2026-08-09,23.388888888888886,10.6
UNKNOWN,2026-01-16T04:29:54,23.1,Celsius,0.99,inches,59.0,,2026-01-16 04:29:54,2026-01-16,23.1,25.145999999999997
SEN043,12-Aug-2026 16:58:44,101.7,f,0.07,inches,44.0,,2026-08-12 16:58:44,2026-08-12,38.72222222222222,1.778
SEN035,2026-06-25 06:49:35 IST,38.6,C,3.7,MM,32.0,,2026-06-25 06:49:35,2026-06-25,38.6,3.7
SEN047,2026-08-18 07:10:40 IST,21.5,Celsius,19.2,millimeters,84.0,,2026-08-18 07:10:40,2026-08-18,21.5,19.2
SEN041,2026-06-19 03:04:08 IST,35.6°C,,1.7,inches,37.0,,2026-06-19 03:04:08,2026-06-19,35.6°C,43.18
SEN020,2026-05-14 19:32:31 UTC,31.2°C,,1.3,inches,94.0,,2026-05-15 01:02:31,2026-05-15,31.2°C,33.019999999999996
SEN030,2026-05-22 10:10:01 UTC,19.8,c,-19.7,mm,72.0,,2026-05-22 15:40:01,2026-05-22,19.8,-19.7
SEN023,2026-01-13 11:34:32 UTC,35.8,C,28.0,MM,58.0,,2026-01-13 17:04:32,2026-01-13,35.8,28.0
SEN009,2026-07-15 22:03:55 UTC,24.8,C,0.8,millimeters,81.0,,2026-07-16 03:33:55,2026-07-16,24.8,0.8
SEN041,07-30-2026 10:15 AM,84.9,°F,1.96,in,91.0,,2026-07-30 10:15:00,2026-07-30,29.38888888888889,49.784
SEN027,2026-05-27 08:13:39 UTC,23.0°C,,17.8,MM,55.0,,2026-05-27 13:43:39,2026-05-27,23.0°C,17.8
SEN040,05/01/2026 03:10,28,°C,0.72,in,72.0,,2026-05-01 03:10:00,2026-05-01,28,18.287999999999997
SEN002,2026-02-23 20:07:57 IST,30.5,C,7.2,MM,59.0,,2026-02-23 20:07:57,2026-02-23,30.5,7.2
SEN015,2026-05-08 23:46:42 UTC,88.3,F,0.61,in,80.0,,2026-05-09 05:16:42,2026-05-09,31.27777777777778,15.493999999999998
SEN007,08/03/2026,21.9,Celsius,-2.4,mm,90.0,2026-03-08,2026-08-03 00:00:00,2026-08-03,21.9,-2.4
SEN023,2026-03-04 12:02:44 IST,89.6,°F,36.5,MM,49.0,,2026-03-04 12:02:44,2026-03-04,32.0,36.5
SEN001,2026-02-07 17:29:24 IST,99.7,Fahrenheit,25.6,mm,75.0,,2026-02-07 17:29:24,2026-02-07,37.611111111111114,25.6
SEN028,2026-06-11 12:01:26 IST,101.7,°F,1.54,inches,58.0,,2026-06-11 12:01:26,2026-06-11,38.72222222222222,39.116
UNKNOWN,2026-03-25 12:03:29 IST,26.7°C,,0.6,MM,67.0,,2026-03-25 12:03:29,2026-03-25,26.7°C,0.6
SEN010,2026-05-15 18:40:32 UTC,17.2,°C,-46.5,mm,53.0,,2026-05-16 00:10:32,2026-05-16,17.2,-46.5
UNKNOWN,2026-04-04 19:31:23 IST,100.2,F,18.6,mm,,,2026-04-04 19:31:23,2026-04-04,37.888888888888886,18.6
SEN014,2026-02-08 01:10:37 IST,95.4,F,41.3,MM,39.0,,2026-02-08 01:10:37,2026-02-08,35.22222222222222,41.3
SEN005,03-01-2026 07:48 AM,24.9,C,0.48,inches,68.0,,2026-03-01 07:48:00,2026-03-01,24.9,12.191999999999998
SEN010,2026-08-06 02:21:52 IST,22.1°C,,26.0,millimeters,50.0,,2026-08-06 02:21:52,2026-08-06,22.1°C,26.0
SEN036,2026-06-18 08:04:30 IST,65.7,Fahrenheit,3.7,MM,,,2026-06-18 08:04:30,2026-06-18,18.72222222222222,3.7
SEN021,2026-02-05 00:04:04 IST,70.7,Fahrenheit,0.5,inch,93.0,,2026-02-05 00:04:04,2026-02-05,21.5,12.7
SEN024,2026-03-18 13:40:34,21.4°C,,41.4,MM,69.0,,2026-03-18 13:40:34,2026-03-18,21.4°C,41.4
SEN041,2026-01-11 08:58:24 UTC,30.5,°C,17.7,mm,92.0,,2026-01-11 14:28:24,2026-01-11,30.5,17.7
SEN039,2026-06-18 08:28:41 UTC,18.7°C,,49.3,millimeters,94.0,,2026-06-18 13:58:41,2026-06-18,18.7°C,49.3
SEN023,2026-05-06 04:21:38 IST,33.8,°C,-14.9,mm,68.0,,2026-05-06 04:21:38,2026-05-06,33.8,-14.9
SEN008,2026-03-14 02:04:35 UTC,16.8,c,,,74.0,,2026-03-14 07:34:35,2026-03-14,16.8,
SEN029,2026-02-04 22:55:57 IST,27.6°C,,0.8,in,,,2026-02-04 22:55:57,2026-02-04,27.6°C,20.32
SEN041,2026-07-11 16:46:05 UTC,16,c,-10.9,mm,86.0,,2026-07-11 22:16:05,2026-07-11,16,-10.9
UNKNOWN,2026-01-10 16:49:33 IST,16.2,c,0.35,inch,39.0,,2026-01-10 16:49:33,2026-01-10,16.2,8.889999999999999
SEN007,2026-02-03 21:27:50 UTC,34.4,C,24.5,mm,65.0,,2026-02-04 02:57:50,2026-02-04,34.4,24.5
SEN033,2026-06-22 14:25:54 UTC,18.2°C,,0.78,inches,78.0,,2026-06-22 19:55:54,2026-06-22,18.2°C,19.812
SEN039,2026-04-23 12:37:38 UTC,76.6,°F,-9.8,mm,87.0,,2026-04-23 18:07:38,2026-04-23,24.777777777777775,-9.8
SEN038,2026-08-22 20:12:32 IST,103.1,Fahrenheit,0.75,in,56.0,,2026-08-22 20:12:32,2026-08-22,39.5,19.049999999999997
SEN048,02-25-2026 09:02 PM,82.6,f,,,80.0,,2026-02-25 21:02:00,2026-02-25,28.111111111111107,
SEN020,2026-05-03 21:30:19 UTC,23,c,1.13,inch,38.0,,2026-05-04 03:00:19,2026-05-04,23,28.701999999999995
SEN011,02-26-2026 01:19 PM,39.5,Celsius,13.3,MM,,,2026-02-26 13:19:00,2026-02-26,39.5,13.3
SEN024,2026-03-31 11:39:52 IST,85.8,Fahrenheit,0.73,inches,71.0,,2026-03-31 11:39:52,2026-03-31,29.88888888888889,18.541999999999998
SEN014,2026-06-06 01:09:20 IST,89.8,F,32.7,mm,49.0,,2026-06-06 01:09:20,2026-06-06,32.111111111111114,32.7
SEN009,2026-01-01 22:02:22 UTC,25.3,°C,0.5,inches,85.0,,2026-01-02 03:32:22,2026-01-02,25.3,12.7
SEN008,2026-01-06 15:43:18,99.3,f,1.65,in,44.0,,2026-01-06 15:43:18,2026-01-06,37.388888888888886,41.91
SEN035,2026-03-22 23:24:11 IST,93.4,F,36.6,mm,54.0,,2026-03-22 23:24:11,2026-03-22,34.111111111111114,36.6
SEN034,2026-07-06 04:54:07 IST,26.8,°C,25.0,millimeters,41.0,,2026-07-06 04:54:07,2026-07-06,26.8,25.0
SEN035,2026-08-02 12:17:16 UTC,22.2,°C,28.1,millimeters,84.0,,2026-08-02 17:47:16,2026-08-02,22.2,28.1
SEN030,13/01/2026 16:26,36.5,c,0.27,in,35.0,,2026-01-13 16:26:00,2026-01-13,36.5,6.858
SEN044,2026-05-18 16:25:14 IST,102.2,°F,-43.4,mm,78.0,,2026-05-18 16:25:14,2026-05-18,39.0,-43.4
SEN035,2026-06-28 21:51:03,24.5°C,,41.2,millimeters,84.0,,2026-06-28 21:51:03,2026-06-28,24.5°C,41.2
SEN008,2026-01-12T21:09:05,29.5,Celsius,18.9,mm,80.0,,2026-01-12 21:09:05,2026-01-12,29.5,18.9
SEN007,2026-04-20 07:10:02 IST,16.9,c,26.9,mm,76.0,,2026-04-20 07:10:02,2026-04-20,16.9,26.9
SEN040,2026-02-19 22:18:36 IST,29.7,Celsius,0.64,inches,81.0,,2026-02-19 22:18:36,2026-02-19,29.7,16.256
SEN047,2026-06-18 15:10:28 IST,78.1,F,-6.4,mm,92.0,,2026-06-18 15:10:28,2026-06-18,25.611111111111107,-6.4
SEN024,2026-04-23 12:43:57 IST,60.4,°F,37.1,MM,90.0,,2026-04-23 12:43:57,2026-04-23,15.777777777777779,37.1
SEN004,01/06/2026,32.2,c,-34.2,mm,69.0,2026-06-01,2026-01-06 00:00:00,2026-01-06,32.2,-34.2
